frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
186,6.205000,0.033333000,B,0
187,6.238333,0.033333000,B,0
188,6.271667,0.033334000,P,0
189,6.305000,0.033333000,B,0
190,6.338333,0.033333000,B,0
191,6.371667,0.033334000,B,0
192,6.405000,0.033333000,P,0
193,6.438333,0.033333000,B,0
194,6.471667,0.033334000,B,0
195,6.505000,0.033333000,B,0
196,6.538333,0.033333000,I,1
197,6.571667,0.033334000,B,0
198,6.605000,0.033333000,B,0
199,6.638333,0.033333000,B,0
200,6.671667,0.033334000,P,0
201,6.705000,0.033333000,B,0
202,6.738333,0.033333000,B,0
203,6.771667,0.033334000,B,0
204,6.805000,0.033333000,P,0
205,6.838333,0.033333000,B,0
206,6.871667,0.033334000,B,0
207,6.905000,0.033333000,B,0
208,6.938333,0.033333000,P,0
209,6.971667,0.033334000,B,0
210,7.005000,0.033333000,B,0
211,7.038333,0.033333000,B,0
212,7.071667,0.033334000,P,0
213,7.105000,0.033333000,B,0
214,7.138333,0.033333000,B,0
215,7.171667,0.033334000,B,0
216,7.205000,0.033333000,P,0
217,7.240000,0.035000000,B,0
218,7.273333,0.033333000,B,0
219,7.306667,0.033334000,B,0
220,7.340000,0.033333000,P,0
221,7.373333,0.033333000,B,0
222,7.406667,0.033334000,B,0
223,7.440000,0.033333000,B,0
224,7.473333,0.033333000,I,1
225,7.506667,0.033334000,B,0
226,7.540000,0.033333000,B,0
227,7.573333,0.033333000,B,0
228,7.606667,0.033334000,P,0
229,7.640000,0.033333000,B,0
230,7.673333,0.033333000,B,0
231,7.706667,0.033334000,B,0
232,7.740000,0.033333000,P,0
233,7.773333,0.033333000,B,0
234,7.806667,0.033334000,B,0
235,7.840000,0.033333000,B,0
236,7.873333,0.033333000,P,0
237,7.906667,0.033334000,B,0
238,7.940000,0.033333000,B,0
239,7.973333,0.033333000,B,0
240,8.006667,0.033334000,P,0
241,8.040000,0.033333000,B,0
242,8.073333,0.033333000,B,0
243,8.106667,0.033334000,B,0
244,8.140000,0.033333000,P,0
245,8.173333,0.033333000,B,0
246,8.206667,0.033334000,B,0
247,8.240000,0.033333000,B,0
248,8.273333,0.033333000,P,0
249,8.306667,0.033334000,B,0
250,8.340000,0.033333000,B,0
251,8.373333,0.033333000,B,0
252,8.406667,0.033334000,I,1
253,8.440000,0.033333000,B,0
254,8.473333,0.033333000,B,0
255,8.506667,0.033334000,B,0
256,8.540000,0.033333000,P,0
257,8.573333,0.033333000,B,0
258,8.606667,0.033334000,B,0
259,8.640000,0.033333000,B,0
260,8.673333,0.033333000,P,0
261,8.706667,0.033334000,B,0
262,8.740000,0.033333000,B,0
263,8.773333,0.033333000,B,0
264,8.806667,0.033334000,P,0
265,8.840000,0.033333000,B,0
266,8.873333,0.033333000,B,0
267,8.906667,0.033334000,B,0
268,8.940000,0.033333000,P,0
269,8.973333,0.033333000,B,0
270,9.006667,0.033334000,B,0
271,9.040000,0.033333000,B,0
272,9.073333,0.033333000,P,0
273,9.106667,0.033334000,B,0
274,9.140000,0.033333000,B,0
275,9.173333,0.033333000,B,0
276,9.206667,0.033334000,P,0
277,9.240000,0.033333000,B,0
278,9.273333,0.033333000,B,0
279,9.306667,0.033334000,B,0
280,9.340000,0.033333000,I,1
281,9.373333,0.033333000,B,0
282,9.406667,0.033334000,B,0
283,9.440000,0.033333000,B,0
284,9.473333,0.033333000,P,0
285,9.506667,0.033334000,B,0
286,9.540000,0.033333000,B,0
287,9.573333,0.033333000,B,0
288,9.606667,0.033334000,P,0
289,9.640000,0.033333000,B,0
290,9.673333,0.033333000,B,0
291,9.706667,0.033334000,B,0
292,9.740000,0.033333000,P,0
293,9.773333,0.033333000,B,0
294,9.806667,0.033334000,B,0
295,9.840000,0.033333000,B,0
296,9.873333,0.033333000,P,0
297,9.906667,0.033334000,B,0
298,9.940000,0.033333000,B,0
299,9.973333,0.033333000,B,0
300,10.006667,0.033334000,P,0
301,10.040000,0.033333000,B,0
302,10.073333,0.033333000,B,0
303,10.106667,0.033334000,B,0
304,10.140000,0.033333000,P,0
305,10.173333,0.033333000,B,0
306,10.206667,0.033334000,B,0
307,10.240000,0.033333000,B,0
308,10.273333,0.033333000,I,1
309,10.306667,0.033334000,B,0
310,10.340000,0.033333000,B,0
311,10.373333,0.033333000,B,0
312,10.406667,0.033334000,P,0
313,10.440000,0.033333000,B,0
314,10.473333,0.033333000,B,0
315,10.506667,0.033334000,B,0
316,10.540000,0.033333000,P,0
317,10.573333,0.033333000,B,0
318,10.606667,0.033334000,B,0
319,10.640000,0.033333000,B,0
320,10.673333,0.033333000,P,0
321,10.706667,0.033334000,B,0
322,10.740000,0.033333000,B,0
323,10.773333,0.033333000,B,0
324,10.806667,0.033334000,P,0
325,10.840000,0.033333000,B,0
326,10.873333,0.033333000,B,0
327,10.906667,0.033334000,B,0
328,10.940000,0.033333000,P,0
329,10.973333,0.033333000,B,0
330,11.006667,0.033334000,B,0
331,11.040000,0.033333000,B,0
332,11.073333,0.033333000,P,0
