frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
186,3.103103,0.016683000,B,0
187,3.119786,0.016683000,B,0
188,3.136470,0.016684000,B,0
189,3.153153,0.016683000,P,0
190,3.169837,0.016684000,B,0
191,3.186520,0.016683000,B,0
192,3.203203,0.016683000,B,0
193,3.219887,0.016684000,P,0
194,3.236570,0.016683000,B,0
195,3.253253,0.016683000,B,0
196,3.269937,0.016684000,B,0
197,3.286620,0.016683000,P,0
198,3.303303,0.016683000,B,0
199,3.319987,0.016684000,B,0
200,3.336670,0.016683000,B,0
201,3.353353,0.016683000,P,0
202,3.370037,0.016684000,B,0
203,3.386720,0.016683000,B,0
204,3.403403,0.016683000,B,0
205,3.420087,0.016684000,P,0
206,3.436770,0.016683000,B,0
207,3.453453,0.016683000,B,0
208,3.470137,0.016684000,P,0
209,3.486820,0.016683000,B,0
210,3.503504,0.016684000,B,0
211,3.520187,0.016683000,B,0
212,3.536870,0.016683000,P,0
213,3.553554,0.016684000,B,0
214,3.570237,0.016683000,B,0
215,3.586920,0.016683000,B,0
216,3.603604,0.016684000,P,0
217,3.620287,0.016683000,B,0
218,3.636970,0.016683000,B,0
219,3.653654,0.016684000,B,0
220,3.670337,0.016683000,P,0
221,3.687020,0.016683000,B,0
222,3.703704,0.016684000,B,0
223,3.720387,0.016683000,B,0
224,3.737070,0.016683000,P,0
225,3.753754,0.016684000,B,0
226,3.770437,0.016683000,B,0
227,3.787120,0.016683000,B,0
228,3.803804,0.016684000,P,0
229,3.820487,0.016683000,B,0
230,3.837171,0.016684000,B,0
231,3.853854,0.016683000,B,0
232,3.870537,0.016683000,P,0
233,3.887221,0.016684000,B,0
234,3.903904,0.016683000,B,0
235,3.920587,0.016683000,B,0
236,3.937271,0.016684000,P,0
237,3.953954,0.016683000,B,0
238,3.970637,0.016683000,B,0
239,3.987321,0.016684000,B,0
240,4.004004,0.016683000,P,0
241,4.020687,0.016683000,B,0
242,4.037371,0.016684000,B,0
243,4.054054,0.016683000,B,0
244,4.070737,0.016683000,P,0
245,4.087421,0.016684000,B,0
246,4.104104,0.016683000,B,0
247,4.120787,0.016683000,B,0
248,4.137471,0.016684000,P,0
249,4.154154,0.016683000,P,0
250,4.170838,0.016684000,I,1
251,4.187521,0.016683000,B,0
252,4.204204,0.016683000,B,0
253,4.220888,0.016684000,B,0
254,4.237571,0.016683000,P,0
255,4.254254,0.016683000,B,0
256,4.270938,0.016684000,B,0
257,4.287621,0.016683000,B,0
258,4.304304,0.016683000,P,0
259,4.320988,0.016684000,B,0
260,4.337671,0.016683000,B,0
261,4.354354,0.016683000,B,0
262,4.371038,0.016684000,P,0
263,4.387721,0.016683000,B,0
264,4.404404,0.016683000,B,0
265,4.421088,0.016684000,B,0
266,4.437771,0.016683000,P,0
267,4.454454,0.016683000,B,0
268,4.471138,0.016684000,B,0
269,4.487821,0.016683000,B,0
270,4.504505,0.016684000,P,0
271,4.521188,0.016683000,B,0
272,4.537871,0.016683000,B,0
273,4.554555,0.016684000,B,0
274,4.571238,0.016683000,P,0
275,4.587921,0.016683000,B,0
276,4.604605,0.016684000,B,0
277,4.621288,0.016683000,B,0
278,4.637971,0.016683000,P,0
279,4.654655,0.016684000,B,0
280,4.671338,0.016683000,B,0
281,4.688021,0.016683000,B,0
282,4.704705,0.016684000,P,0
283,4.721388,0.016683000,B,0
284,4.738071,0.016683000,B,0
285,4.754755,0.016684000,B,0
286,4.771438,0.016683000,P,0
287,4.788121,0.016683000,B,0
