frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
0,0.000000,,I,1
1,0.204067,0.204067000,B,0
2,0.237400,0.033333000,B,0
3,0.270744,0.033344000,B,0
4,0.304089,0.033345000,P,0
5,0.337433,0.033344000,B,0
6,0.370767,0.033334000,B,0
7,0.404111,0.033344000,B,0
8,0.437456,0.033345000,P,0
9,0.470800,0.033344000,B,0
10,0.504133,0.033333000,B,0
11,0.537478,0.033345000,B,0
12,0.570822,0.033344000,P,0
13,0.604167,0.033345000,B,0
14,0.637500,0.033333000,B,0
15,0.670844,0.033344000,B,0
16,0.704189,0.033345000,P,0
17,0.737533,0.033344000,B,0
18,0.770867,0.033334000,B,0
19,0.804211,0.033344000,B,0
20,0.837556,0.033345000,P,0
21,0.870889,0.033333000,B,0
22,0.904233,0.033344000,B,0
23,0.937578,0.033345000,B,0
24,0.970922,0.033344000,P,0
25,1.004256,0.033334000,B,0
26,1.037600,0.033344000,B,0
27,1.070944,0.033344000,B,0
28,1.104289,0.033345000,P,0
29,1.137622,0.033333000,B,0
30,1.170967,0.033345000,B,0
31,1.204311,0.033344000,B,0
32,1.237656,0.033345000,P,0
33,1.270989,0.033333000,B,0
34,1.304333,0.033344000,B,0
35,1.337678,0.033345000,B,0
36,1.371022,0.033344000,P,0
37,1.404356,0.033334000,B,0
38,1.437700,0.033344000,B,0
39,1.471044,0.033344000,B,0
40,1.504389,0.033345000,P,0
41,1.537722,0.033333000,B,0
42,1.571067,0.033345000,B,0
43,1.604411,0.033344000,B,0
44,1.637756,0.033345000,P,0
45,1.671089,0.033333000,B,0
46,1.704433,0.033344000,B,0
47,1.737778,0.033345000,B,0
48,1.771111,0.033333000,P,0
49,1.804456,0.033345000,B,0
50,1.837800,0.033344000,B,0
51,1.871144,0.033344000,B,0
52,1.904478,0.033334000,P,0
53,1.937822,0.033344000,B,0
54,1.971167,0.033345000,B,0
55,2.004511,0.033344000,B,0
56,2.037844,0.033333000,P,0
57,2.071189,0.033345000,B,0
58,2.104533,0.033344000,B,0
59,2.137878,0.033345000,B,0
60,2.171211,0.033333000,P,0
61,2.204556,0.033345000,B,0
62,2.237900,0.033344000,B,0
63,2.271244,0.033344000,B,0
64,2.304578,0.033334000,P,0
65,2.337922,0.033344000,B,0
66,2.371267,0.033345000,B,0
67,2.404600,0.033333000,B,0
68,2.437944,0.033344000,P,0
69,2.471289,0.033345000,B,0
70,2.504633,0.033344000,B,0
71,2.537967,0.033334000,B,0
72,2.571311,0.033344000,P,0
73,2.604656,0.033345000,B,0
74,2.638000,0.033344000,B,0
75,2.671333,0.033333000,B,0
76,2.704678,0.033345000,P,0
77,2.738022,0.033344000,B,0
78,2.771367,0.033345000,B,0
79,2.804700,0.033333000,B,0
80,2.838044,0.033344000,P,0
81,2.871389,0.033345000,B,0
82,2.904733,0.033344000,B,0
83,2.938067,0.033334000,B,0
84,2.971411,0.033344000,P,0
85,3.004756,0.033345000,I,1
86,3.038089,0.033333000,B,0
