frame_zero_based,presentation_seconds,interval_from_previous_seconds,picture_type,key_frame
0,0.000000,,I,1
1,0.016667,0.016667000,B,0
2,0.033333,0.016666000,B,0
3,0.050000,0.016667000,B,0
4,0.066667,0.016667000,P,0
5,0.083333,0.016666000,B,0
6,0.100000,0.016667000,B,0
7,0.116667,0.016667000,B,0
8,0.133333,0.016666000,P,0
9,0.150000,0.016667000,B,0
10,0.166667,0.016667000,B,0
11,0.183333,0.016666000,B,0
12,0.200000,0.016667000,P,0
13,0.216667,0.016667000,B,0
14,0.233333,0.016666000,B,0
15,0.250000,0.016667000,B,0
16,0.266667,0.016667000,P,0
17,0.283333,0.016666000,B,0
18,0.300000,0.016667000,B,0
19,0.316667,0.016667000,B,0
20,0.333333,0.016666000,P,0
21,0.350000,0.016667000,B,0
22,0.366667,0.016667000,B,0
23,0.383333,0.016666000,B,0
24,0.400000,0.016667000,P,0
25,0.416667,0.016667000,B,0
26,0.433333,0.016666000,B,0
27,0.450000,0.016667000,B,0
28,0.466667,0.016667000,P,0
29,0.483333,0.016666000,B,0
30,0.500000,0.016667000,B,0
31,0.516667,0.016667000,B,0
32,0.533333,0.016666000,P,0
33,0.550000,0.016667000,B,0
34,0.566667,0.016667000,B,0
35,0.583333,0.016666000,B,0
36,0.600000,0.016667000,P,0
37,0.616667,0.016667000,B,0
38,0.633333,0.016666000,B,0
39,0.650000,0.016667000,B,0
40,0.666667,0.016667000,P,0
41,0.683333,0.016666000,B,0
42,0.700000,0.016667000,B,0
43,0.716667,0.016667000,B,0
44,0.733333,0.016666000,P,0
45,0.750000,0.016667000,B,0
46,0.766667,0.016667000,B,0
47,0.783333,0.016666000,B,0
48,0.800000,0.016667000,P,0
49,0.818333,0.018333000,B,0
50,0.835000,0.016667000,B,0
51,0.851667,0.016667000,B,0
52,0.868333,0.016666000,P,0
53,0.885000,0.016667000,B,0
54,0.901667,0.016667000,B,0
55,0.918333,0.016666000,B,0
56,0.935000,0.016667000,I,1
