frame,t_rel_s,region_mean_abs_diff,control_mean_abs_diff,track_score
201,-5.319999999999999,2.3159401416778564,2.830566644668579,0.980756938457489
202,-5.303332999999999,1.9739882946014404,2.1543922424316406,0.9778669476509094
203,-5.286665999999999,2.060762405395508,3.2581968307495117,0.9755771160125732
204,-5.27,2.279141902923584,4.302322864532471,0.9755122065544128
205,-5.253333,1.0519750118255615,2.237098217010498,0.9762912392616272
206,-5.236666,3.022135019302368,2.9870498180389404,0.9759144186973572
207,-5.219999999999999,1.6882117986679077,2.308957099914551,0.9746694564819336
208,-5.203332999999999,1.938943862915039,2.3858866691589355,0.9720049500465393
209,-5.186665999999999,1.2178022861480713,3.2541801929473877,0.9721590876579285
210,-5.17,1.6190513372421265,3.629382371902466,0.968888521194458
211,-5.153333,3.4600934982299805,5.207775115966797,0.967035710811615
212,-5.136666,2.067176103591919,4.381156921386719,0.9661001563072205
213,-5.119999999999999,1.726567029953003,1.9319357872009277,0.9673545360565186
214,-5.103332999999999,1.6086499691009521,2.0527727603912354,0.9621678590774536
215,-5.086665999999999,1.4452316761016846,2.519592046737671,0.9641284942626953
216,-5.069999999999999,1.326473593711853,3.540087938308716,0.9561482071876526
217,-5.053332999999999,3.516716957092285,3.8184759616851807,0.9569774866104126
218,-5.036665999999999,2.687443733215332,2.9842286109924316,0.9563117027282715
219,-5.02,1.7755131721496582,4.476563930511475,0.9527433514595032
220,-5.003333,2.1227874755859375,1.3281782865524292,0.9481024742126465
221,-4.986666,1.7558428049087524,3.3897643089294434,0.9450420141220093
222,-4.969999999999999,2.6906027793884277,2.2058815956115723,0.9415044188499451
223,-4.953332999999999,2.695263147354126,5.8965253829956055,0.9377126693725586
224,-4.936665999999999,3.7812819480895996,3.525177240371704,0.936653196811676
225,-4.92,2.8264341354370117,4.634164333343506,0.9379578828811646
226,-4.903333,11.387444496154785,6.608134746551514,0.9391852617263794
227,-4.886666,9.920044898986816,3.6526029109954834,0.9436506628990173
228,-4.869999999999999,6.33709192276001,3.8258891105651855,0.9440276622772217
229,-4.853332999999999,6.476997375488281,7.944802761077881,0.9514422416687012
230,-4.836665999999999,7.441333770751953,3.5709125995635986,0.9532172679901123
231,-4.819999999999999,8.472343444824219,6.5473127365112305,0.956767737865448
232,-4.803332999999999,5.520620346069336,5.3259758949279785,0.9556697607040405
233,-4.786665999999999,4.610544681549072,4.280869483947754,0.9608110785484314
234,-4.77,7.44716215133667,5.053258895874023,0.9634467959403992
235,-4.753333,4.193129062652588,5.5133867263793945,0.9666063189506531
236,-4.736666,4.348053932189941,2.1195573806762695,0.9656957387924194
237,-4.719999999999999,3.3230509757995605,4.431485652923584,0.9688092470169067
238,-4.703332999999999,4.206342697143555,1.7818737030029297,0.967128574848175
