frame,t_rel_s,region_mean_abs_diff,control_mean_abs_diff,track_score
201,-3.0655669999999997,2.3966612815856934,2.293107748031616,0.980756938457489
202,-3.0488999999999997,1.7644928693771362,1.8439202308654785,0.9778669476509094
203,-3.0322329999999997,2.2788782119750977,1.902598261833191,0.9755771160125732
204,-3.015567,2.71801495552063,1.663469910621643,0.9755122065544128
205,-2.9989,1.3913123607635498,0.9401713013648987,0.9762912392616272
206,-2.982233,2.428752899169922,2.910452127456665,0.9759144186973572
207,-2.9655669999999996,2.1699087619781494,1.6586060523986816,0.9746694564819336
208,-2.9488999999999996,1.6973495483398438,1.7866483926773071,0.9720049500465393
209,-2.9322329999999996,1.7725056409835815,1.0082868337631226,0.9721590876579285
210,-2.915567,1.8343979120254517,1.45308256149292,0.968888521194458
211,-2.8989,3.9744954109191895,2.823347568511963,0.967035710811615
212,-2.882233,2.7962098121643066,1.5663437843322754,0.9661001563072205
213,-2.865567,2.012800693511963,1.5130976438522339,0.9673545360565186
214,-2.8489,1.778915524482727,1.4769363403320312,0.9621678590774536
215,-2.832233,2.0761070251464844,1.277072548866272,0.9641284942626953
216,-2.8155669999999997,2.1594696044921875,1.0462148189544678,0.9561482071876526
217,-2.7988999999999997,3.7068495750427246,3.1547110080718994,0.9569774866104126
218,-2.7822329999999997,3.3999886512756348,2.758477210998535,0.9563117027282715
219,-2.765567,2.393362045288086,1.6278091669082642,0.9527433514595032
220,-2.7489,2.4960360527038574,2.2649993896484375,0.9481024742126465
221,-2.732233,1.9434577226638794,1.7825000286102295,0.9450420141220093
222,-2.7155669999999996,2.5677425861358643,2.6751043796539307,0.9415044188499451
223,-2.6988999999999996,2.9807703495025635,2.5705814361572266,0.9377126693725586
224,-2.6822329999999996,3.745114803314209,3.5735089778900146,0.936653196811676
225,-2.665567,2.0618157386779785,3.192896842956543,0.9379578828811646
226,-2.6489,7.258601188659668,13.993966102600098,0.9391852617263794
227,-2.632233,6.664488315582275,11.585746765136719,0.9436506628990173
228,-2.615567,3.4729952812194824,7.270261287689209,0.9440276622772217
229,-2.5989,4.173513889312744,7.40343713760376,0.9514422416687012
230,-2.582233,4.6513471603393555,8.238757133483887,0.9532172679901123
231,-2.5655669999999997,5.109860420227051,9.773504257202148,0.956767737865448
232,-2.5488999999999997,4.2354817390441895,5.798580169677734,0.9556697607040405
233,-2.5322329999999997,2.527904748916626,5.350474834442139,0.9608110785484314
234,-2.515567,3.919508934020996,8.972090721130371,0.9634467959403992
235,-2.4989,2.4964065551757812,4.372685432434082,0.9666063189506531
